timestamp,y_true,eq_step1_thr0.010_no_tc,eq_step1_thr0.010_tc,eq_step1_thr0.015_no_tc,eq_step1_thr0.015_tc,eq_step1_thr0.020_no_tc,eq_step1_thr0.020_tc,eq_step1_thr0.025_no_tc,eq_step1_thr0.025_tc,eq_step1_thr0.030_no_tc,eq_step1_thr0.030_tc
2018-01-13 20:00:00,14266.1298828125,99515.06082034609,96765.6409478834,103422.48184537822,101373.46350125769,102493.78657740723,101068.16329455515,101140.40179663383,100334.10485672276,100943.97708647505,100742.19007627919
2018-01-13 21:00:00,14280.0302734375,99515.06082034609,96765.6409478834,103422.48184537822,101373.46350125769,102493.78657740723,101068.16329455515,101140.40179663383,100334.10485672276,100943.97708647505,100742.19007627919
2018-01-13 22:00:00,14309.990234375,99515.06082034609,96765.6409478834,103422.48184537822,101373.46350125769,102493.78657740723,101068.16329455515,101140.40179663383,100334.10485672276,100943.97708647505,100742.19007627919
2018-01-13 23:00:00,14254.98046875,99515.06082034609,96765.6409478834,103422.48184537822,101373.46350125769,102493.78657740723,101068.16329455515,101140.40179663383,100334.10485672276,100943.97708647505,100742.19007627919
2018-01-14 00:00:00,14079.8896484375,99515.06082034609,96765.6409478834,103422.48184537822,101373.46350125769,102493.78657740723,101068.16329455515,101140.40179663383,100334.10485672276,100943.97708647505,100742.19007627919
2018-01-14 01:00:00,14168.3603515625,100140.36170139952,97276.29223861982,103422.48184537822,101373.46350125769,102493.78657740723,101068.16329455515,101140.40179663383,100334.10485672276,100943.97708647505,100742.19007627919
2018-01-14 02:00:00,14188.0302734375,100140.36170139952,97179.0159463812,103422.48184537822,101373.46350125769,102493.78657740723,101068.16329455515,101140.40179663383,100334.10485672276,100943.97708647505,100742.19007627919
2018-01-14 03:00:00,14273.9697265625,100140.36170139952,97179.0159463812,103422.48184537822,101373.46350125769,102493.78657740723,101068.16329455515,101140.40179663383,100334.10485672276,100943.97708647505,100742.19007627919
2018-01-14 04:00:00,14197.7802734375,100140.36170139952,97179.0159463812,103422.48184537822,101373.46350125769,102493.78657740723,101068.16329455515,101140.40179663383,100334.10485672276,100943.97708647505,100742.19007627919
2018-01-14 05:00:00,14283.990234375,100140.36170139952,97179.0159463812,103422.48184537822,101373.46350125769,102493.78657740723,101068.16329455515,101140.40179663383,100334.10485672276,100943.97708647505,100742.19007627919
2018-01-14 06:00:00,14310.0302734375,100140.36170139952,97179.0159463812,103422.48184537822,101373.46350125769,102493.78657740723,101068.16329455515,101140.40179663383,100334.10485672276,100943.97708647505,100742.19007627919
2018-01-14 07:00:00,14255.8896484375,100140.36170139952,97179.0159463812,103422.48184537822,101373.46350125769,102493.78657740723,101068.16329455515,101140.40179663383,100334.10485672276,100943.97708647505,100742.19007627919
2018-01-14 08:00:00,14241.830078125,100140.36170139952,97179.0159463812,103422.48184537822,101373.46350125769,102493.78657740723,101068.16329455515,101140.40179663383,100334.10485672276,100943.97708647505,100742.19007627919
2018-01-14 09:00:00,13851.01953125,100140.36170139952,97179.0159463812,103422.48184537822,101373.46350125769,102493.78657740723,101068.16329455515,101140.40179663383,100334.10485672276,100943.97708647505,100742.19007627919
2018-01-14 10:00:00,13782.900390625,99647.87265641727,96604.38967198013,102913.85137462355,100774.03516698643,101989.72341835218,100470.54022162188,100642.99456698478,99740.82232234316,100447.53587109111,100146.49450563792
2018-01-14 11:00:00,13836.9599609375,99647.87265641727,96507.78528230815,102913.85137462355,100673.26113181944,101989.72341835218,100370.06968140026,100642.99456698478,99641.08150002081,100447.53587109111,100046.34801113229
2018-01-14 12:00:00,13733.990234375,99647.87265641727,96507.78528230815,102913.85137462355,100673.26113181944,101989.72341835218,100370.06968140026,100642.99456698478,99641.08150002081,100447.53587109111,100046.34801113229
2018-01-14 13:00:00,13664.599609375,99144.4043966072,95924.16204926453,102913.85137462355,100673.26113181944,101989.72341835218,100370.06968140026,100642.99456698478,99641.08150002081,100447.53587109111,100046.34801113229
2018-01-14 14:00:00,13540.2099609375,99144.4043966072,95828.23788721526,102913.85137462355,100673.26113181944,101989.72341835218,100370.06968140026,100642.99456698478,99641.08150002081,100447.53587109111,100046.34801113229
2018-01-14 15:00:00,13533.1796875,99144.4043966072,95828.23788721526,102913.85137462355,100673.26113181944,101989.72341835218,100370.06968140026,100642.99456698478,99641.08150002081,100447.53587109111,100046.34801113229
2018-01-14 16:00:00,13522.5595703125,99144.4043966072,95828.23788721526,102913.85137462355,100673.26113181944,101989.72341835218,100370.06968140026,100642.99456698478,99641.08150002081,100447.53587109111,100046.34801113229
2018-01-14 17:00:00,13310.6796875,99144.4043966072,95828.23788721526,102913.85137462355,100673.26113181944,101989.72341835218,100370.06968140026,100642.99456698478,99641.08150002081,100447.53587109111,100046.34801113229
2018-01-14 18:00:00,13642.6201171875,101616.85786774188,98119.77512878286,105480.30694624766,103080.65724177548,101989.72341835218,100370.06968140026,100642.99456698478,99641.08150002081,100447.53587109111,100046.34801113229
2018-01-14 19:00:00,13573.830078125,102129.23947494678,98417.29438583081,106012.16918186143,103393.21890957725,102503.98512157759,100775.28845710387,101150.46567357285,100043.35717028174,100447.53587109111,100046.34801113229
2018-01-14 20:00:00,13229.0498046875,102129.23947494678,98318.87709144499,106012.16918186143,103289.82569066767,102503.98512157759,100674.51316864676,101150.46567357285,99943.31381311145,100447.53587109111,100046.34801113229
2018-01-14 21:00:00,13308.1201171875,102739.6681149395,98807.62458318539,106645.80617543013,103803.28398801644,103116.6536242834,101174.97063163831,101150.46567357285,99943.31381311145,100447.53587109111,100046.34801113229
2018-01-14 22:00:00,13519.990234375,102739.6681149395,98708.8169586022,106645.80617543013,103699.48070402842,103116.6536242834,101073.79566100668,101150.46567357285,99943.31381311145,100447.53587109111,100046.34801113229
