timestamp,y_true,eq_step1_thr0.005_no_tc,eq_step1_thr0.005_tc,eq_step1_thr0.010_no_tc,eq_step1_thr0.010_tc,eq_step1_thr0.015_no_tc,eq_step1_thr0.015_tc,eq_step1_thr0.020_no_tc,eq_step1_thr0.020_tc,eq_step1_thr0.025_no_tc,eq_step1_thr0.025_tc,eq_step1_thr0.030_no_tc,eq_step1_thr0.030_tc
2018-03-30 02:00:00+00:00,7175.95,95923.43409957855,95444.67956871534,96962.43808561293,96093.16237223988,97105.08706929116,96234.53249681041,103182.60982392007,101849.25470319182,103002.70473784664,101468.43272483563,99023.93968141657,97744.32408268137
2018-03-30 03:00:00+00:00,7088.38,94752.85527390389,94279.94311015133,95779.18002178067,94920.51230793662,95920.08822249627,95060.15725579763,101923.44537290234,100606.3615344325,101745.73571578083,100230.18682656239,97815.52457290806,96551.52445894926
2018-03-30 04:00:00+00:00,6822.19,91194.6004194293,90739.4475305561,92182.38358451323,91355.96142730526,92318.00025825812,91490.36228714178,98095.91328181623,96828.28990496982,97924.87715709975,96466.2416893995,94142.25726979191,92925.72416385676
2018-03-30 05:00:00+00:00,6889.0,92087.67306238151,91628.06284169761,93085.12963047228,92250.61428554554,93222.0744041342,92386.33133878121,99056.5707783618,97776.53351128261,98883.85968952203,97410.93974197042,95064.19644301852,93835.74977607034
2018-03-30 06:00:00+00:00,6835.12,91367.44025288794,90911.42471919642,92357.09554940248,91529.10708599478,92492.9692555067,91663.76267387577,98281.83307571437,97011.80719025084,98110.47278865521,96649.0727898297,94320.68375549495,93101.84497160892
2018-03-30 07:00:00+00:00,6848.02,91539.87906585133,91083.0028888376,92531.40215010407,91701.85101461774,92667.53229220484,91836.76073952686,98467.3215011812,97194.89868136648,98295.63780389617,96831.47968817076,94498.69625863257,93277.55714639647
2018-03-30 08:00:00+00:00,6696.67,89516.7306672461,89069.95203804779,90486.33982326825,89675.12282879726,90619.46131513041,89807.05087624851,96291.06776518104,95046.76711699826,96123.17849717398,94691.38014833229,92410.15421600651,91216.00383987764
2018-03-30 09:00:00+00:00,7111.37,95060.17064677428,94585.72466984515,96089.824110938,95228.37144894761,96231.18932433268,95368.46931233395,102254.01738076918,100932.66179650601,102075.73135146993,100555.26702755934,98132.77321222074,96864.67352083807
2018-03-30 10:00:00+00:00,7040.36,94110.95513448516,93641.24669882047,95130.32707870402,94277.47638138823,95270.28070139211,94416.1753090872,101232.96830383906,99924.8070070393,101056.46253501573,99551.18068250529,97152.87647983305,95897.4392935774
2018-03-30 11:00:00+00:00,7200.0,96244.91886328161,95764.55979971301,97287.4050427349,96415.21597560286,97430.5321105772,96557.0598982762,103528.42351636016,102190.5996924423,103347.91548331526,101808.50139964976,99355.815704708,98071.91150932017
2018-03-30 12:00:00+00:00,7097.87,94879.71142390564,94406.16612022069,95907.41022648288,95047.59291899337,96048.50707662536,95187.42482502467,102059.901586676,100741.0544220827,101881.95400993874,100364.376087435,97946.48105777442,96680.78868675811
2018-03-30 13:00:00+00:00,7019.15,93827.43364433375,93359.14026641048,94843.73459801564,93993.45322432676,94983.26659221637,94131.73430347018,100927.99082289712,99623.77053211199,100752.01680065448,99251.26980546549,96860.1908060696,95608.53578758954
2018-03-30 14:00:00+00:00,6888.81,92085.13326591151,91625.53572136957,93082.56232395036,92248.06999512398,93219.50332064796,92383.78330525612,99053.83877829679,97773.83681490186,98881.13245286347,97408.25312873906,95061.57455343743,93833.16176729444
2018-03-30 15:00:00+00:00,7022.98,93878.63059422908,93410.0816919706,94895.48609264255,94044.74076282489,95035.09422249185,94183.09729505496,100983.06219262873,99678.13025389283,100806.99215014074,99305.42627218225,96913.04258025697,95660.70459607297
2018-03-30 16:00:00+00:00,7027.42,93937.9816275281,93469.13650384708,94955.4799924189,94104.19681267651,95095.17638396005,94242.64081532556,101046.90472046382,99741.14779036984,100870.72336468878,99368.2081813787,96974.31199994154,95721.18227483705
2018-03-30 17:00:00+00:00,6879.3,91958.00976891293,91499.0466986341,92954.06187645641,92120.72156402287,93090.8138261519,92256.24752197381,98917.09498556893,97638.86006447476,98744.62708116257,97273.78106647368,94930.34208019412,93703.6251175092
2018-03-30 18:00:00+00:00,6825.0,91232.16267248568,90776.8223101446,92220.35269675912,91393.59014354019,92356.02522981797,91528.04636190765,98136.31812488304,96868.1726251276,97965.21155189257,96505.97528508464,94181.03363675445,92963.99945154307
2018-03-30 19:00:00+00:00,6780.05,90631.30029708227,90178.95884306167,91612.98202222149,90791.66459380361,91747.7610050443,90925.2352726816,97489.98442529132,96230.19103399215,97320.00477397938,95870.37915481877,93560.74975954242,92351.73105955086
2018-03-30 20:00:00+00:00,6674.86,89225.18876718941,88779.86522565447,90191.6400588263,89383.06507040448,90324.32799494546,89514.5634489733,95977.4629156127,94737.21475876325,95810.12043652244,94382.98522950916,92109.18889093433,90918.92767459733
2018-03-30 21:00:00+00:00,6733.05,90003.03485450252,89553.82907770244,90977.91146152587,90162.28748951844,91111.75614265582,90294.93224279008,96814.17388289285,95563.11350822204,96645.37254790775,95205.79588179328,92912.17707369225,91711.53941497614
2018-03-30 22:00:00+00:00,6741.52,90116.25630766529,89666.48544180015,91092.35928384698,90275.70927831196,91226.37233806924,90408.52089519819,96935.96357000168,95683.32939424911,96766.94988737215,95325.56227163426,93029.05815133375,91826.91012198779
2018-03-30 23:00:00+00:00,6823.68,91214.51777069407,90759.26547418132,92202.5166725013,91375.91402061134,92338.16296559772,91510.34423425964,98117.33791390504,96849.43768185066,97946.26443405397,96487.31039316137,94162.81840387525,92946.0196010997
2018-03-31 00:00:00+00:00,6858.93,91685.7168526289,91228.11279820075,92678.81959302303,91847.94684882523,92815.16661238909,91983.07150667829,98624.19582070388,97349.74582617824,98452.23860360771,96985.7478479305,94649.24791826289,93426.16333453075
2018-03-31 01:00:00+00:00,6912.03,92395.52312924559,91934.37642672361,93396.31420521319,92559.00906664529,93533.71678670458,92695.17982342806,99387.71794413702,98103.40149891,99214.42948029714,97736.5855457529,95381.9970590851,94149.44368191197
2018-03-31 02:00:00+00:00,6785.0,90697.46867880077,90244.79697792395,91679.86711318837,90857.95005478684,91814.74449587033,90991.61825136167,97561.1602164588,96300.4470712807,97391.05646587415,95940.37249953102,93629.0568828394,92419.1554987135
2018-03-31 03:00:00+00:00,6850.0,91566.34641853873,91109.33814278248,92558.15618649084,91728.36519901104,92694.32568853526,91863.31393099889,98495.79181764816,97223.00109628192,98324.05848065409,96859.47702605564,94526.01910795136,93304.52692206153
2018-03-31 04:00:00+00:00,6995.22,93507.55296261176,93040.85611140948,94520.38909764445,93673.00654123008,94659.44539313222,93810.81618633607,100583.90260418231,99284.12871952311,100408.52852044396,98912.89793900803,96529.97071303993,95282.58289280924
2018-03-31 05:00:00+00:00,7078.16,94616.24095851739,94144.01063776894,95641.0859551784,94783.65626526014,95781.79099497266,94923.09987355315,101776.49252729992,100461.30765542465,101599.03909130314,100085.67531485343,97674.49451228276,96412.31682900131
2018-03-31 06:00:00+00:00,7047.32,94203.99188938634,93733.81910662683,95224.37157024535,94370.67775683131,95364.46354909902,94509.5138003222,101333.04577990485,100023.5912534087,101156.36551998295,99649.5955671916,97248.92043501427,95992.24214136973
2018-03-31 07:00:00+00:00,6976.85,93261.99474601197,92796.52347758715,94272.1710933896,93427.01383047011,94410.86221606676,93564.46157656783,100319.76133473848,99023.40075891893,100144.84779719001,98653.14485974255,96276.47538880445,95032.36330747227
2018-03-31 08:00:00+00:00,7023.78,93889.32447410277,93420.722198615,94906.29580431398,94055.45356459997,95045.91983717083,94193.8258572659,100994.56535079719,99689.4847649698,100818.47525186112,99316.73832789331,96924.08211533527,95671.60147512954
2018-03-31 09:00:00+00:00,6923.01,92542.29663051211,92080.41738041819,93544.67749790338,92706.0422710081,93682.29834817322,92842.42933977295,99545.59878999947,98259.242163441,99372.03505140923,97891.84351038739,95533.5146780348,94299.00334696368
2018-03-31 10:00:00+00:00,6818.39,91143.80449002926,90688.90512399514,92131.03745407409,91305.07561887373,92266.57858853314,91439.40161663994,98041.27328051592,96774.35597735443,97870.33242392806,96412.50942477192,94089.81947817,92873.96398833799
2018-03-31 11:00:00+00:00,6831.12,91313.97085351948,90858.22218597434,92303.04699104548,91475.54307711948,92438.84118211198,91610.1198628212,98224.31728487193,96955.0346348662,98053.05728005343,96592.51251127436,94265.48608010347,93047.360576326
2018-03-31 12:00:00+00:00,6906.03,92315.31903019287,91854.57262689053,93315.2413676776,92478.66305333232,93452.52467661245,92614.71560684618,99301.44425787339,98018.24266583298,99128.30621739442,97651.74512791987,95299.20054599787,94067.71708898754
2018-03-31 13:00:00+00:00,6996.91,93530.14378384495,93063.33418169578,94543.22461355034,93695.63733497993,94682.3145041415,93833.48027400664,100608.20302581321,99308.11512417313,100432.78657282826,98936.79465669766,96553.29173089284,95305.60254981629
2018-03-31 14:00:00+00:00,7076.07,94588.30319734736,94116.2123141604,95612.84558343685,94755.6690706228,95753.50907662389,94895.07150477712,101746.44052658475,100431.64399523614,101569.03948805871,100056.12256930825,97645.65372689071,96383.84873246598
2018-03-31 15:00:00+00:00,7087.8,94745.10221099546,94272.22874283411,95771.34298081898,94912.74552664973,95912.23965185405,95052.37904819474,101915.10558323016,100598.12951390176,101737.41046703362,100221.98558617187,97807.52090997632,96543.62422163326
2018-03-31 16:00:00+00:00,7179.19,95966.74431306701,95487.77362062517,97006.21741788223,96136.54921942893,97148.93080874093,96277.98317376465,103229.1976145024,101895.24047305345,103049.21129981418,101514.24655046545,99068.64979848369,97788.45644286057
2018-03-31 17:00:00+00:00,7043.13,94147.98269354783,93678.08945307671,95167.75570536633,94314.56945753441,95307.764392218,94453.32295574251,101272.79798899741,99964.12200164322,101096.22277472254,99590.34867540485,97191.10087004167,95935.16973731083
2018-03-31 18:00:00+00:00,7074.09,94561.83584465996,94089.87706021548,95586.0915470501,94729.15488622952,95726.71568029349,94868.5183133051,101717.97021011777,100403.54158032073,101540.61881130081,100028.12523142336,97618.33087757192,96356.87895680092
2018-03-31 19:00:00+00:00,7040.95,94118.84187089202,93649.09407247069,95138.29924106174,94285.37707269737,95278.26459221786,94424.08762371776,101241.4518829883,99933.18095895858,101064.93132253455,99559.52332359219,97161.01813695331,95905.47574188163
2018-03-31 20:00:00+00:00,7144.1,95497.68400710695,95021.05439793463,96532.07643969482,95666.65895157008,96674.09228488537,95807.4016137882,102724.64033933726,101397.20323094128,102545.53375060455,101018.07150683856,98584.42819111173,97310.49208524085
2018-03-31 21:00:00+00:00,7115.0,95108.69412670117,94634.00596874411,96138.8731776471,95276.980787002,96280.31055093845,95417.150163366,102306.21296095863,100984.18289051765,102127.83592552615,100606.5954803483,98182.86510263853,96914.11810955734
2018-03-31 22:00:00+00:00,7029.9,93971.13265513655,93502.12207444472,94988.99009860032,94137.40649817925,95128.73578946482,94275.89935817942,101082.56451078608,99776.34677470836,100906.32098002195,99403.27555408298,97008.53455868427,95754.96259991245
2018-03-31 23:00:00+00:00,7058.0,94346.75518570021,93875.86987032973,95368.68122105878,94513.69366052849,95508.98550506306,94652.74010583799,101486.6129414541,100175.17397628583,101309.66492794991,99800.61151093441,97396.2982283096,96137.71547677524
2018-04-01 00:00:00+00:00,6916.29,92452.46803957304,91991.03712460509,93453.87591986351,92616.05473609755,93591.36318487002,92752.30941720122,99448.97226138419,98163.86427039471,99275.57699695816,97796.82224241436,95440.78258337708,94207.46956288832
